character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
㐅,sheaf,,,,,wǔ,,,㐅,,,RSH RTH RTK,RSH1::L38 primitive
㐫,Fagin,,,,,,top hat + cruel,⿱ (top-bottom),⿱亠凶,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">cruel</span>",,RSH,RSH1::L38 primitive
㐬,baby Moses,,,,,,infant + flood,⿱ (top-bottom),⿱亠𠫝,"<span style=""color:#1a5276"">囧充－儿</span> <span style=""color:#666"">infant</span><br><span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span>",,RSH RTH RTK,RSH1::L22 primitive
㐱,cocktail,,,,,,umbrella + rooster tail,⿱ (top-bottom),⿱𠆢彡,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">彡</span> <span style=""color:#666"">rooster tail</span>",,RSH RTH RTK,RSH1::L44 primitive
㓁,paper punch,,,,,,hole,⿱ (top-bottom),⿱冖儿,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span>",,RSH RTH RTK,RSH1::L34 primitive
㔾,fingerprint,,,,,jié,,,㔾,,,RSH RTH RTK,RSH1::L36 primitive
㸚,stitching,,,,,,sheaf + sheaf + sheaf + Sheaf,⿱ (top-bottom),⿱⿰㐅㐅⿰㐅乂,"<span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">乂</span> <span style=""color:#666"">Sheaf</span>",,RSH RTH RTK,RSH2::L55 primitive
䍃,can opener,,,,,yáo,claw + tin can,⿱ (top-bottom),⿱爫缶,"<span style=""color:#1a5276"">爪</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">缶</span> <span style=""color:#666"">tin can</span>",,RSH RTK,RSH1::L52 primitive
一,one,floor · ceiling,,1,,yī,,,一,,,RSH RTH RTK,RSH1::L01 primitive
丁,fourth,nail · spike · thumbtack,,90,,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L05 primitive
丂,snare,,,,,kǎo,floor + ㇉,⿱ (top-bottom),⿱一㇉,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L32 primitive
七,seven,diced,,7,,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RSH1::L01 primitive
万,ten thousand,,,65,,Mò / wàn,bound up + one,⿸ (top-left-wrap),⿸丆𠃌,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",TH: 萬 | JP: 萬,RSH RTK,RSH1::L04
丈,100 Chinese inches,,,837,,zhàng,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,RSH RTH RTK,RSH1::L26
三,three,,,3,,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RSH1::L01
上,above,,,45,,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L03
下,below,,,46,,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,RSH RTH RTK,RSH1::L03
不,no,no symbol,,993,,bù,ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RSH1::L31 primitive
与,offer,,,1034,,yú / yǔ / yù,pointed tail + slingshot,⿹ (top-right-wrap),⿹{22}一,"<span style=""color:#1a5276"">囧与－丨一</span> <span style=""color:#666"">pointed tail</span><br><span style=""color:#1a5276"">囧与－一</span> <span style=""color:#666"">slingshot</span>",TH: 與,RSH RTK,RSH1::L33
丑,clown,,,1486,,chǒu,needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,RSH RTH RTK,RSH1::L55
