character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
一,one,1,,,yī,,,一,,,RSH RTH RTK,RTH1::L01 primitive
丁,fourth / street,86,,,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L05 primitive
七,seven,7,,,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTH1::L01 primitive
丈,100 Chinese Inches / 100 Chinese inches / length,776,,,zhàng,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,RSH RTH RTK,RTH1::L26
三,three,3,,,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RTH1::L01
上,above,44,,,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L03
下,below,45,,,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,RSH RTH RTK,RTH1::L03
不,no / negative,924,,,bù,ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L31 primitive
丑,clown / sign of the cow,1489,,,chǒu,needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,RSH RTH RTK,RTH1::L55
且,moreover,1297,,,qiě,glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L45 primitive
世,generation,27,,,shì,ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTH1::L02
丘,hill,1003,,,qiū,tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,"<span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",,RSH RTH RTK,RTH1::L34
丙,third / third class,780,,,bǐng,ceiling + internal,⿱ (top-bottom),⿱一内,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal</span>",,RSH RTH RTK,RTH1::L26
丟,mislay,1870,,,diū,floor + go,⿱ (top-bottom),⿱一去,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span>",SH: 丢,RTH,RTH2::L22
並,side by side / row,1302,,,bìng,animal horns + profession,⿱ (top-bottom),⿱䒑业,"<span style=""color:#1a5276"">䒑</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span>",SH: 并,RTH RTK,RTH1::L46 primitive
中,middle / in,36,,,Zhōng / zhōng / zhòng,walking stick + mouth,⿻ (overlaid),⿻口丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RTH1::L03
串,string together / shish kebab,1504,,,chuàn,spine + walking stick,⿻ (overlaid),⿻吕丨,"<span style=""color:#1a5276"">吕</span> <span style=""color:#666"">spine</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTH2::L03 primitive
丸,pill / round,41,,,wán,baseball,⿻ (overlaid),⿻九丶,"<span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RTH1::L03 primitive
丹,cinnabar red,1537,,,dān,hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover, cowl, helmet)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RTH2::L09
主,lord,259,,,zhǔ,a drop of + king + jade,⿱ (top-bottom),⿱丶王,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span> <span style=""color:#999"">(alias: scepter)</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel, ball)</span>",,RSH RTH RTK,RTH1::L12 primitive
乃,only then / from,582,,,nǎi,𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,RSH RTH RTK,RTH1::L22 primitive
久,long time,778,,,jiǔ,bound up + person,,久,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTH1::L26
之,of,921,,,zhī,a drop of,⿱ (top-bottom),⿱丶{100},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L31 primitive
乍,for the first time,865,,,zhà,lying (down) + walking stick + two,⿸ (top-left-wrap),⿸⿱𠂉丨二,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH,RTH1::L30 primitive
