character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
一,one,,,1,yī,,,一,,,RSH RTH RTK,RTK1v5::L01 primitive
丁,fourth / street,,,91,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTK1v5::L05 primitive
七,seven,,,7,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTK1v5::L01 primitive
万,ten thousand,,,64,Mò / wàn,bound up + one,⿸ (top-left-wrap),⿸丆𠃌,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",TH: 萬,RSH RTK,RTK1v5::L04
丈,100 Chinese Inches / 100 Chinese inches / length,,,691,zhàng,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,RSH RTH RTK,RTK1v5::L23
三,three,,,3,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RTK1v5::L01
上,above,,,49,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTK1v5::L03
下,below,,,50,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,RSH RTH RTK,RTK1v5::L03
不,no / negative,,,1217,bù,ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK1v5::L32 primitive
与,offer / bestow,,,1246,yú / yǔ / yù,pointed tail + slingshot,⿹ (top-right-wrap),⿹{22}一,"<span style=""color:#1a5276"">囧与－丨一</span> <span style=""color:#666"">pointed tail</span><br><span style=""color:#1a5276"">囧与－一</span> <span style=""color:#666"">slingshot</span>",TH: 與,RSH RTK,RTK1v5::L33
丑,clown / sign of the cow,,,2040,chǒu,needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,RSH RTH RTK,RTK1v5::L56
