character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
一,one,1,1,1,yī,,,一,,,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
二,two,2,2,2,èr,one,⿱ (top-bottom),⿱一一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
三,three,3,3,3,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
四,four,4,4,4,sì,mouth + human legs,⿴ (surround),⿴囗⿰丿㇄,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
五,five,5,5,5,wǔ,floor + ㇯,⿱ (top-bottom),⿱一𫝀,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
六,six,6,6,6,liù,top hat + animal legs,⿱ (top-bottom),⿱亠八,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
七,seven,7,7,7,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
八,eight,8,8,8,bā,drop + ㇏,⿰ (left-right),⿰丿㇏,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
九,nine,9,9,9,jiǔ,,,九,,,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
十,ten,10,10,10,shí,floor + walking stick,⿻ (overlaid),⿻一丨,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
口,mouth,11,11,11,kǒu,,,口,,,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
日,day,12,12,12,rì,pent in + floor,⿴ (surround),⿴囗一,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
月,month,13,13,13,yuè,glass cover + two,⿵ (surround-open-bottom),⿵⺆二,"<span style=""color:#1a5276"">⺆</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
田,rice field,14,14,14,tián,pent in + ten,⿴ (surround),⿴囗十,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
目,eye,15,15,15,mù,pent in + floor + floor,⿴ (surround),⿴囗𠄠,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
古,ancient,16,16,16,gǔ,ten + mouth,⿱ (top-bottom),⿱十口,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02 primitive
胡,recklessly,17,17,2470,hú,moon + ancient,⿰ (left-right),⿰古月,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK3v2::CH02
吾,I (literary),18,19,17,wú,five + mouth,⿱ (top-bottom),⿱五口,"<span style=""color:#1a5276"">五</span> <span style=""color:#666"">five</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
朋,companion,19,20,19,péng,flesh,⿰ (left-right),⿰月月,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
明,bright,20,21,20,Míng / míng,sun + moon,⿰ (left-right),⿰日月,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
唱,sing,21,22,21,chàng,mouth + tongue wagging in the mouth,⿰ (left-right),⿰口昌,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: tongue wagging in the mouth)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
晶,sparkling,22,23,22,jīng,sun,⿱ (top-bottom),⿱日昍,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
品,goods,23,24,23,pǐn,sparkling + mouth,⿱ (top-bottom),⿱口吅,"<span style=""color:#1a5276"">晶</span> <span style=""color:#666"">sparkling</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
昌,prosperous,24,25,25,chāng,sun + sparkling,⿱ (top-bottom),⿱日日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">晶</span> <span style=""color:#666"">sparkling</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
早,early,25,26,26,zǎo,sun + needle,⿱ (top-bottom),⿱日十,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02 primitive
旭,rising sun,26,27,27,xù,sun + baseball,⿺ (bottom-left-wrap),⿺九日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
世,generation,27,28,28,shì,ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
胃,stomach,28,29,29,wèi,flesh / part of the body + brains,⿱ (top-bottom),⿱田⺝,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
旦,daybreak,29,30,30,dàn,sun + floor,⿱ (top-bottom),⿱日一,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
凹,concave,30,31,33,āo,,,凹,,,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
凸,convex,31,32,34,tū,,,凸,,,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
