character,keyword,reading,decomposition,spatial,ids,components_detail,tags
丫,fork,ya1,horns (also: animal horns) + walking stick,⿱ (top-bottom),⿱丷丨,"<span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns (also: animal horns)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",SC::L1
丐,to beg for alms,gai4,one,⿱ (top-bottom),⿱⿸丅一㇉,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span>",SC::L1
夯,to ram,ben4,large + power,⿱ (top-bottom),⿱大力,"<span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span>",SC::L1
叽,grumble,ji1,mouth + how many?,⿰ (left-right),⿰口几,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span>",SC::L1
冉,surname Ran,ran3,hood (also: glass cover + soil,⿻ (overlaid),⿻冂土,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood (also: glass cover</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span>",SC::L1
戎,surname Rong,Rong2,halberd + by one’s side,⿹ (top-right-wrap),⿹戈𠂇,"<span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span><br><span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",SC::L1
吆,to shout,yao1,mouth + uno,⿰ (left-right),⿰口幺,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">幺</span> <span style=""color:#666"">uno</span>",SC::L1
屹,high and steep,yi4,mountain + beg,⿰ (left-right),⿰山乞,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">乞</span> <span style=""color:#666"">beg</span>",SC::L1
匈,Hungary,Xiong1,bound up + sinister / villain / cruel,⿹ (top-right-wrap),⿹勹凶,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">sinister / villain / cruel</span>",SC::L1
汛,high water,xun4,crochet needles,⿰ (left-right),⿰氵卂,"<span style=""color:#1a5276"">卂</span> <span style=""color:#666"">crochet needles</span>",SC::L1
讳,to avoid mentioning,hui4,tanned hide,⿰ (left-right),⿰讠韦,"<span style=""color:#1a5276"">韦</span> <span style=""color:#666"">tanned hide</span>",SC::L1
讹,to extort,e2,transform / change,⿰ (left-right),⿰讠化,"<span style=""color:#1a5276"">化</span> <span style=""color:#666"">transform / change</span>",SC::L1
诀,to bid farewell,jue2,guillotine,⿰ (left-right),⿰讠夬,"<span style=""color:#1a5276"">夬</span> <span style=""color:#666"">guillotine</span>",SC::L1
驮,load carried by a pack animal,tuo2,horse + large,⿰ (left-right),⿰马大,"<span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span><br><span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span>",SC::L1
纫,to thread (a needle),ren4,thread + blade,⿰ (left-right),⿰纟刃,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">刃</span> <span style=""color:#666"">blade</span>",SC::L1
韧,old variant of 韌|韧[ren4],ren4,tanned hide + blade,⿰ (left-right),⿰韦刃,"<span style=""color:#1a5276"">韦</span> <span style=""color:#666"">tanned hide</span><br><span style=""color:#1a5276"">刃</span> <span style=""color:#666"">blade</span>",SC::L1
抠,to dig,kou1,fingers + region / ward,⿰ (left-right),⿰扌区,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">区</span> <span style=""color:#666"">region / ward</span>",SC::L1
汞,mercury (chemistry),gong3,work / craft + water,⿱ (top-bottom),⿱工水,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work / craft</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span>",SC::L1
抡,"to swing (one's arms, a heavy object)",lun1,fingers + lifeguard,⿰ (left-right),⿰扌仑,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">仑</span> <span style=""color:#666"">lifeguard</span>",SC::L1
抒,to express,shu1,fingers + bestow / beforehand,⿰ (left-right),⿰扌予,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">予</span> <span style=""color:#666"">bestow / beforehand</span>",SC::L1
芜,overgrown with weeds,wu2,flower + nothing,⿱ (top-bottom),⿱艹无,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">无</span> <span style=""color:#666"">nothing</span>",SC::L1
